tc st t t t t t t t t t t t t t stf tcf
l sl ebs ebs ebs ebs ebs sws ebs sws ebs sws ebs ebs ebs slf lf
l sl2 e w e w e w e w sw w e w e sl2f lf
l sl2 sw sws e ews e ews sw w sws ews e sws sw sl2f lf
l sl2 esws w e w e w sws w w w e w esws sl2f lf
l sl2 e w e sws e sws esws ews ews ews sw sws sw sl2f lf
l sl2 sw w e w sw w e w e w esws w sws sl2f lf
l sl2 esws sws e sws esws ews sw ews e ews e ews sws sl2f lf
l sl2 e w e w e w esws w e w w w esws sl2f lf
l sl2 e sws e ews sw ews sw sws e ews w ews e sl2f lf
l sl2 sw w e w esws w sws w e w ews w sw sl2f lf
hb sht esws w e ews e sws sws sws sw ews e sws esws shtf hbf
bc sbl b b b b b b b b b b b b b sblf bcf
